3900	600	-289,99	60000	-28999
4000	600	-289,99	60000	-28999
4100	600	-289,99	60000	-28999
4200	600	-289,48	60000	-28948
4300	600	-289,48	60000	-28948
4400	600	-289,48	60000	-28948
4500	600	-288,62	60000	-28862
4600	600	-288,62	60000	-28862
4700	600	-287,82	60000	-28782
4800	600	-287,82	60000	-28782
4900	600	-287,82	60000	-28782
5000	600	-287,32	60000	-28732
0	700	-280,14	70000	-28014
100	700	-280,14	70000	-28014
200	700	-280	70000	-28000
300	700	-280	70000	-28000
400	700	-279,55	70000	-27955
500	700	-279,55	70000	-27955
600	700	-279,55	70000	-27955
700	700	-279,28	70000	-27928
800	700	-279,28	70000	-27928
900	700	-279,28	70000	-27928
1000	700	-279,32	70000	-27932
1100	700	-279,32	70000	-27932
1200	700	-279,32	70000	-27932
1300	700	-279,73	70000	-27973
1400	700	-279,73	70000	-27973
1500	700	-279,73	70000	-27973
1600	700	-280,61	70000	-28061
1700	700	-280,61	70000	-28061
1800	700	-280,61	70000	-28061
1900	700	-281,79	70000	-28179
2000	700	-281,79	70000	-28179
2100	700	-281,79	70000	-28179
2200	700	-283,17	70000	-28317
2300	700	-283,17	70000	-28317
2400	700	-284,61	70000	-28461
2500	700	-284,61	70000	-28461
2600	700	-284,61	70000	-28461
2700	700	-286,41	70000	-28641
2800	700	-286,41	70000	-28641
2900	700	-286,41	70000	-28641
3000	700	-288,11	70000	-28811
3100	700	-288,11	70000	-28811
3200	700	-288,11	70000	-28811
3300	700	-289,58	70000	-28958
3400	700	-289,58	70000	-28958
3500	700	-289,58	70000	-28958
3600	700	-290,16	70000	-29016
3700	700	-290,16	70000	-29016
3800	700	-290,16	70000	-29016
3900	700	-290,6	70000	-29060
4000	700	-290,6	70000	-29060
4100	700	-290,27	70000	-29027
4200	700	-290,27	70000	-29027
4300	700	-290,27	70000	-29027
4400	700	-289,41	70000	-28941
4500	700	-289,41	70000	-28941
4600	700	-289,41	70000	-28941
4700	700	-288,73	70000	-28873
4800	700	-288,73	70000	-28873
4900	700	-288,73	70000	-28873
5000	700	-288,61	70000	-28861
0	800	-280,37	80000	-28037
100	800	-280,12	80000	-28012
200	800	-280,12	80000	-28012
300	800	-280,12	80000	-28012
400	800	-280,52	80000	-28052
500	800	-280,52	80000	-28052
600	800	-280,52	80000	-28052
700	800	-280,53	80000	-28053
800	800	-280,53	80000	-28053
900	800	-280,53	80000	-28053
1000	800	-280,68	80000	-28068
1100	800	-280,68	80000	-28068
1200	800	-280,68	80000	-28068
1300	800	-281,15	80000	-28115
1400	800	-281,15	80000	-28115
1500	800	-281,15	80000	-28115
1600	800	-282,22	80000	-28222
1700	800	-282,22	80000	-28222
1800	800	-283,32	80000	-28332
1900	800	-283,32	80000	-28332
2000	800	-283,32	80000	-28332
2100	800	-284,6	80000	-28460
2200	800	-284,6	80000	-28460
2300	800	-284,6	80000	-28460
2400	800	-285,74	80000	-28574
2500	800	-285,74	80000	-28574
2600	800	-285,74	80000	-28574
2700	800	-286,22	80000	-28622
2800	800	-286,22	80000	-28622
2900	800	-286,22	80000	-28622
3000	800	-286,89	80000	-28689
3100	800	-286,89	80000	-28689
3200	800	-286,89	80000	-28689
3300	800	-288,08	80000	-28808
3400	800	-288,08	80000	-28808
3500	800	-289,2	80000	-28920
3600	800	-289,2	80000	-28920
3700	800	-289,2	80000	-28920
3800	800	-289,77	80000	-28977
3900	800	-289,77	80000	-28977
4000	800	-289,77	80000	-28977
4100	800	-289,42	80000	-28942
4200	800	-289,42	80000	-28942
4300	800	-289,42	80000	-28942
4400	800	-289,24	80000	-28924
4500	800	-289,24	80000	-28924
4600	800	-289,24	80000	-28924
4700	800	-289,04	80000	-28904
4800	800	-289,04	80000	-28904
4900	800	-289,04	80000	-28904
5000	800	-287,93	80000	-28793
0	900	-281,04	90000	-28104
100	900	-281,87	90000	-28187
200	900	-281,87	90000	-28187
300	900	-281,87	90000	-28187
400	900	-281,49	90000	-28149
500	900	-281,49	90000	-28149
600	900	-281,49	90000	-28149
700	900	-281,32	90000	-28132
800	900	-281,32	90000	-28132
900	900	-281,32	90000	-28132
1000	900	-281,41	90000	-28141
1100	900	-281,41	90000	-28141
1200	900	-281,86	90000	-28186
1300	900	-281,86	90000	-28186
1400	900	-281,86	90000	-28186
1500	900	-282,15	90000	-28215
1600	900	-282,15	90000	-28215
1700	900	-282,15	90000	-28215
1800	900	-284,07	90000	-28407
1900	900	-284,07	90000	-28407
2000	900	-284,07	90000	-28407
2100	900	-284,5	90000	-28450
2200	900	-284,5	90000	-28450
2300	900	-284,5	90000	-28450
2400	900	-286,41	90000	-28641
2500	900	-286,41	90000	-28641
2600	900	-286,41	90000	-28641
2700	900	-287,41	90000	-28741
2800	900	-287,41	90000	-28741
2900	900	-287,41	90000	-28741
3000	900	-288,57	90000	-28857
3100	900	-288,57	90000	-28857
3200	900	-289,43	90000	-28943
3300	900	-289,43	90000	-28943
3400	900	-289,43	90000	-28943
3500	900	-289,9	90000	-28990
3600	900	-289,9	90000	-28990
3700	900	-289,9	90000	-28990
3800	900	-290,02	90000	-29002
3900	900	-290,02	90000	-29002
4000	900	-290,02	90000	-29002
4100	900	-289,84	90000	-28984
4200	900	-289,84	90000	-28984
4300	900	-289,84	90000	-28984
4400	900	-289,35	90000	-28935
4500	900	-289,35	90000	-28935
4600	900	-289,35	90000	-28935
4700	900	-288,89	90000	-28889
4800	900	-288,89	90000	-28889
4900	900	-288,64	90000	-28864
5000	900	-288,64	90000	-28864
0	1000	-282,37	100000	-28237
100	1000	-282,45	100000	-28245
200	1000	-282,45	100000	-28245
300	1000	-282,45	100000	-28245
400	1000	-282,16	100000	-28216
500	1000	-282,16	100000	-28216
600	1000	-282,16	100000	-28216
700	1000	-281,83	100000	-28183
800	1000	-281,83	100000	-28183
900	1000	-281,6	100000	-28160
1000	1000	-281,6	100000	-28160
1100	1000	-281,6	100000	-28160
1200	1000	-281,67	100000	-28167
1300	1000	-281,67	100000	-28167
1400	1000	-281,67	100000	-28167
1500	1000	-282,2	100000	-28220
1600	1000	-282,2	100000	-28220
1700	1000	-282,2	100000	-28220
1800	1000	-282,93	100000	-28293
1900	1000	-282,93	100000	-28293
2000	1000	-282,93	100000	-28293
2100	1000	-283,79	100000	-28379
2200	1000	-283,79	10000	-28379
2300	1000	-283,79	100000	-28379
2400	1000	-284,7	100000	-28470
2500	1000	-284,7	100000	-28470
2600	1000	-285,71	100000	-28571
2700	1000	-285,71	100000	-28571
2800	1000	-285,71	100000	-28571
2900	1000	-286,66	100000	-28666
3000	1000	-286,66	100000	-28666
3100	1000	-286,66	100000	-28666
3200	1000	-287,2	100000	-28720
3300	1000	-287,2	100000	-28720
3400	1000	-287,2	100000	-28720
3500	1000	-288,06	100000	-28806
3600	1000	-288,06	100000	-28806
3700	1000	-288,06	100000	-28806
3800	1000	-288,49	100000	-28849
3900	1000	-288,49	100000	-28849
4000	1000	-288,44	100000	-28844
4100	1000	-288,44	100000	-28844
4200	1000	-288,44	100000	-28844
4300	1000	-287,89	100000	-28789
4400	1000	-287,89	100000	-28789
4500	1000	-287,89	100000	-28789
4600	1000	-287,94	100000	-28794
4700	1000	-287,94	100000	-28794
4800	1000	-287,94	100000	-28794
4900	1000	-288,06	100000	-28806
5000	1000	-288,06	100000	-28806

